date,sentence,importance,event-type,cluster
"September 12, 1848"," believed that the self named  Free Soil  party, was far behind the Whigs",1,fact,6
"September 12, 1848", Both parties opposed the extension,0,,
"September 12, 1848", As he understood it the new party had no principle except this opposition,1,fact,7
"September 12, 1848"," If their platform held any other, it was in such a general way that it was like the pair of pantaloons the Yankee pedler offered for sale,  large enough for any man, small enough for any boy",1,fact,7
"September 12, 1848",  They therefore had taken a position calculated to break down their single important declared object,1,event,8
"September 12, 1848", They were working for the election of either Gen,0,,
"September 12, 1848", Cass or Gen,0,,
"September 12, 1848", Taylor,0,,
"September 12, 1848","
 The Speaker then went on to show, clearly and eloquently, the danger of extension of slavery, likely to result from the election of General Cass",1,event,8
"September 12, 1848", To unite with those who annexed the new territory to prevent the extension of slavery in that territory seemed to him to be in the highest degree absurd and ridiculous,1,event,9
"September 12, 1848", Suppose these gentlemen succeed in electing Mr,0,,
"September 12, 1848"," Van Buren, they had no specific means to prevent the extension of slavery to New Mexico and California, and Gen",1,fact,10
"September 12, 1848"," Taylor, he confidently believed, would not encourage it, and would not prohibit its restriction",1,event,10
"September 12, 1848", But if Gen,0,,
"September 12, 1848"," Cass was elected, he felt certain that the plans of farther extension of territory would be encouraged, and those of the extension of slavery would meet no check",1,event,11
"September 12, 1848","
 The  Free Soil  men in claiming that name indirectly attempted a deception, by implying the Whigs were not Free Soil men",1,fact,12
"September 12, 1848"," In declaring that they would  do their duty and leave the consequences to God,  merely gave an excuse for taking a course that they were not able to maintain by a fair and full argument",1,demand,12
"September 12, 1848", To make this declaration did not show what their duty was,0,,
"September 12, 1848"," If it did we should have no use for judgment, we might as well be made without intellect, and when divine or human law does not clearly point out whatPage 4is our duty, we have no means of finding out what it is by using our most intelligent judgment of the consequences",1,demand,13
"September 12, 1848"," If there were divine law, or human law for voting for Martin Van Buren, or if a fair examination of the consequences and first reasoning would show that voting for him would bring about the ends they pretended to wish then he would give up the argument",1,demand,14
"September 12, 1848"," But since there was no fixed law on the subject, and since the whole probable result of their action would be an assistance in electing Gen",1,fact,14
"September 12, 1848"," CASS, he must say that they were behind the Whigs in their advocacy of the freedom of the soil",1,demand,14
"September 12, 1848","
 Mr",0,,
"September 12, 1848"," Lincoln proceeded to rally the Buffalo Convention  4  for forbearing to say anything after all the previous declarations of those members who were formerly Whigs on the subject of the Mexican war, because the Van Burens had been known to have supported it",1,event,15
"September 12, 1848"," He declared that of all the parties asking the confidence of the country, this new one had less of principle than any other",1,event,16
"September 12, 1848","
 He wondered whether it was still the opinion of these Free Soil gentlemen, as declared in the  whereas  at Buffalo, that the whig and democratic parties were both entirely dissolved and absorbed into their own body",1,event,16
"September 12, 1848"," Had the Vermont election given them any light  They had calculated on making as great an impression in that State as in any part of the Union, and there their attempts had been wholly ineffectual",1,event,16
"September 12, 1848", Their failure there was a greater success than they would find in any other part of the Union,1,fact,16
"September 12, 1848","
 Mr",0,,
"September 12, 1848"," Lincoln went on to say that he honestly believed that all those who wished to keep up the character of the Union  who did not believe in enlarging our field, but in keeping our fences where they are and cultivating our present possession, making it a garden, improving the morals and education of the people  devoting the administration to this purpose  all real Whigs, friends of good honest government the race was ours",1,event,17
"September 12, 1848"," He had opportunities of hearing from almost every part of the Union from reliable sources, and had not heard of a country  county  in which he had not received accessions from other parties",1,event,17
"September 12, 1848"," If the true Whigs come forward and join these new friends, they need not have a doubt",1,demand,18
"September 12, 1848"," We had a candidate whose personal character and principles he had already described, whom he could not eulogize if he would",1,event,19
"September 12, 1848", Gen,0,,
"September 12, 1848"," Taylor had been constantly, perseveringly, quietly standing up, doing his duty, and asking no praise or reward for it",1,event,19
"September 12, 1848"," He was and must be just the man to whom the interests, principles and prosperityPage 5
 of the country might be safely intrusted",1,demand,20
"September 12, 1848"," He had never failed in anything he had undertaken, although many of his duties had been considered almost impossible",1,event,21
"September 12, 1848","
 Mr",0,,
"September 12, 1848"," Lincoln then went into a terse though rapid review of the origin of the Mexican war and the connection of the administration and of General Taylor with it, from which he deduced a strong appeal to the Whigs present to do their duty in the support of General Taylor, and closed with the warmest aspirations for and confidence in a deserved success",1,event,21
"September 12, 1848","
 At the close of this truly masterly and convincing speech, the audience gave three enthusiastic cheers for Illinois, and three more for the eloquent Whig member from that State",1,event,21
"September 12, 1848",  5,0,,
"September 15, 1848",BOSTON WHIG CLUB,0,,
"September 15, 1848"," A full and enthusiastic meeting of this Club was held last evening at Washingtonian Hall, Bromfield street",0,,
"September 15, 1848", They were addressed by the Hon,0,,
"September 15, 1848"," Abraham Lincoln, of Illinois, in a speech of an hour and a half, which, for sound reasoning, cogent argument and keen satire, we have seldom heard equalled",0,,
"September 15, 1848"," He defended General Taylor from the charge that he had no principles, by showing conclusively that his avowed and well known principles were, that the people s will should be obeyed, and not frustrated by Executive usurpation and the interposition of the veto power",1,event,22
"September 15, 1848","
 He pointed out the absurdity of men who professed Whig principles supporting Van Buren, with all his Locofocoism, while the Whigs were as much opposed to the extension of slavery as were the Van Buren party",1,event,23
"September 15, 1848", His remarks were frequently interrupted by rounds of applause,0,,
"September 15, 1848"," As soon as he had concluded, the audience gave three cheers for Taylor and Fillmore, and three more for Mr",1,event,24
"September 15, 1848"," Lincoln, the Lone Star of Illinois, and then adjourned",1,event,24
"September 15, 1848", It was a glorious meeting,0,,
"September 16, 1848",Mr,0,,
"September 16, 1848", Woodman  2  introduced the Hon,0,,
"September 16, 1848"," Abraham Lincoln, of Illinois",0,,
"September 16, 1848", It would be doing injustice to his speech to endeavor to give a sketch of it,0,,
"September 16, 1848"," It was replete with good sense, sound reasoning, and irresistible argument, and spoken with that perfect command of manner and matter which so eminently distinguishes the Western orators",0,,
"September 16, 1848"," He disabused the public of the erroneous suppositions that Taylor was not a Whig  that Van Buren was anything more than a thorough Locofoco, on all subjects other than Free Territory, and hardly safe on that and showed up, in a masterly manner, the inconsistency and folly of those Whigs, who, being drawn off from the true and oldest free soil organization known among the parties of the Union, would now lend their influence and votes to help Mr",1,event,25
"September 16, 1848", Van Buren into the Presidential chair,0,,
"September 16, 1848"," His speech was interrupted by the cheers of the audience, evincing the truth of the great supposition that the dead can speak",1,event,25
"September 16, 1848",,0,,
September [21?] 1848,"The Taylor men were well entertained Wednesday evening, the 20th inst",0,,
September [21?] 1848,",  2  at Union Hall, by an address from the Hon",0,,
September [21?] 1848, Abraham Lincoln of Illinois,0,,
September [21?] 1848, The address as well as the speaker was such as to give unlimited satisfaction to the disheartened Taylorites,0,,
September [21?] 1848," Such a treat it is indeed seldom their good luck to get, and they were in ecstacies",0,,
September [21?] 1848," At former meetings their spirits were too low for a good hearty cheer, but on this occasion  the steam was up",0,,
September [21?] 1848,"  It was reviving to hear a man speak as if he believed what he was saying and had a grain or two of feeling mixed up with it  one who could not only speak highly of Taylor, but could occasionally swell with indignation or burst in hatred on the Free Soilers",0,,
September [21?] 1848," When political spite runs high nothing can be too pungent or severe, and the speaker is appreciated in proportion as his statements are rash and unscrupulous",0,,
September [21?] 1848, So it was no this occasion,0,,
September [21?] 1848," The speaker was far inferiorPage 7
 as a reasoner to others who hold the same views, but then he was more unscrupulous, more facetious and with his sneers he mixed up a good deal of humor",0,,
September [21?] 1848," His awkward gesticulations, the ludicrous management of his voice and the comical expression of his countenance, all conspired to make his hearers laugh at the mere anticipation of the joke before it appeared",0,,
September [21?] 1848, But enough concerning the speaker  let us examine his arguments,0,,
September [21?] 1848,"
 General Taylor, he argued, has principles, though he has not given expression to them on the Tariff, Bank and other questions of policy",1,event,26
September [21?] 1848," This, however, is in direct contradiction of Taylor, himself, who
 in his letter to Delany writes,  As regards the second and third inquiries  about a bank and tariff , I am not prepared to answer them",1,event,26
September [21?] 1848, I could only do so after investigating them,0,,
September [21?] 1848, I am no politician  near forty years of my life have been passed on the Western frontier and in the Indian count r y,1,fact,26
September [21?] 1848,"  The speaker next discussed the veto question and said that Taylor was the first Whig candidate that had come fully up to the Whig platform in this point, because unlike all other candidates before him he had not even claimed the right to advise Congress on matters of policy",1,event,26
September [21?] 1848," The proper limitation of the veto, he contended, was the Whig platform itself, and General Taylor by his equivocal silence had come up to it better than the great parent of Whig principles Henry Clay",1,event,26
September [21?] 1848," He did not know that General Taylor had professed that he would not veto the Wilmot proviso, but believed that he would not, because General Taylor had promised not to veto any measure unless it was unconstitutional or passed in haste and acknowledged that to be constitutional which had been established by long usage and acquiesced in by the people",1,event,26
September [21?] 1848, As the constitutionality of the Wilmot Proviso he said  had never been disputed,1,event,26
September [21?] 1848,  it was therefore acquiesced in by the people and consequently Taylor was bound not to veto it,1,event,26
September [21?] 1848,"
 He subsequently admitted in speaking of Cass, that in the Nicholson letter the constitutional power of Congress to exclude slavery from any territory in the Union was denied",1,event,26
September [21?] 1848," Yet he seemed to forget this when he said that the
 constitutionality of the Proviso had never been disputed",1,event,26
September [21?] 1848," He seemed to be entirely ignorant that every propagandist of slavery in existence, with John C",1,event,26
September [21?] 1848," Calhoun at their head, claimed the right, under the Constitution, and independent of Congress, to carry their  property  into any part of the United States territory and there to hold it",1,event,27
September [21?] 1848,"
 Calhoun said in the Senate that when the South consented to the Missouri Compromise the rights of the South granted by the Constitution were given up but belonged to the South the same asPage 8
 if no compromise had been made",1,event,28
September [21?] 1848, Thomas Corwin said in his speech on the Compromise Bill introduced in the Senate last session of Congress that the constitutionality of any measure excluding slavery from the territories could not with safety be left to the decision of the Supreme Court,1,event,29
September [21?] 1848, The House of Representatives had the same views and rejected the bill,1,event,29
September [21?] 1848," None of these facts did the speaker allude to, but instead uttered the
 stupendous falsehood that the  constitutionality of the Proviso  had never been disputed",1,event,29
September [21?] 1848," Without this  whopper,  however, the argument would have been defective",1,demand,29
September [21?] 1848," There would have been a gap in it, so the lie was made big enough to fill the gap that the argument might thereby be made sound and conclusive",1,event,29
September [21?] 1848,"
 He related a conversation which he overheard at the dinner table of a house in Lowell between two Free Soilers",1,event,29
September [21?] 1848," One of them remarked that the reasoning of the Taylor men was not logical, for it certainly was illogical to say,  General Taylor is a slaveholder, therefore we go for him to prevent the extension of slavery",1,event,29
September [21?] 1848,"  He thought this was an unfair statement of the case and gave what he deemed the correct one in the form of a syllogism as follows   General Taylor is a slaveholder, but he will do more to prevent the extension of slavery than any other man whom it is possible to elect, therefore we go for Taylor",1,event,29
September [21?] 1848," 
 It needs no argument to prove that the major proposition does not include the minor o n e and has nothing to do with it",1,fact,29
September [21?] 1848, But let that pass,0,,
September [21?] 1848," The minor proposition asserts that General Taylor will do  more  to prevent the extension of slavery than any other man it is possible to elect, and this assertion is made before the logician has even attempted to prove that General Taylor was opposed to the extension of slavery at all  The attempt is made to prove that he will do more than any other man before it is proved that he will do the first thing",1,demand,30
September [21?] 1848, But taking for granted that General Taylor will not veto the Proviso  a position founded on a lie  is that a proof that he will do anything to prevent the extension of slavery  He may never have a chance to veto the Proviso even if elected in November,1,demand,30
September [21?] 1848, The slave states are equal with the free states in the Senate and before the Proviso can pass that body one or two of the Southern Senators must yield,1,demand,31
September [21?] 1848,"
 Under such circumstances, is it likely that any Senator from the South will be influenced to vote for the Proviso by the executive patronage of the unrepentant slaveholder, Zachary Taylor  Is it not more probable that it would be brought to bear on some Northern doughface  It would be quite safe for Taylor to make an equivocal promise not to veto the Proviso, but he has not even done soPage 9
 much as that",1,demand,32
September [21?] 1848, The speaker contended that Van Buren had approved the policy of the Mexican War and the annexation of new territory,1,event,32
September [21?] 1848, This he did not prove from Van Buren s letter written in 1844,0,,
September [21?] 1848," If he had read that letter to his hearers they would have found that Van Buren wrote against annexation, partly because it would produce war",1,event,32
September [21?] 1848, The proof he gave was the fact that some of the same individuals who supported Van Buren in 1844 had since voted both for Texas and war,1,event,32
September [21?] 1848,"
 He said in another part of his speech that the Northern Democrats were opposed to the annexation of Texas in 1844",1,event,33
September [21?] 1848, Yet he undertook to prove that Van Buren was in favor of annexation and war from the fact that these men once supported him and that at the very time they themselves were opposed to annexation,1,event,33
September [21?] 1848, But why should Van Buren be held responsible for all his friends  Where is the proof that he ever favored the extension of slavery in all his life  Is General Taylor responsible for all who now support him  Are the sins of Berrien Mangum and other propagandists of slavery to be laid to his charge  He has enough to answer for his own account if we acquit him of all guilt connected with the Native Church burning of Philadelphia,1,demand,33
September [21?] 1848,"
 To show the recklessness and audacity of the honorable gentleman and the low estimate he had formed of his hearers, it will suffice to give but one specimen",1,event,34
September [21?] 1848," Speaking of Van Buren, he said,  he  Van Buren  won t have an electoral vote in the nation nor as many as all others in any county in the nation",1,demand,34
September [21?] 1848,  The reasoning adopted by the Whig Free Soilers he gave in the form of a syllogism as follows   We can t go for General Taylor because he is not a Whig,1,event,35
September [21?] 1848," Van Buren is not a Whig  therefore, we go for him",0,,
September [21?] 1848,  This dishonest statement of the case elicited warm applause from his truth loving hearers,1,event,35
September [21?] 1848, The syllogism should have stood thus  We can t vote for a man without principles,1,demand,36
September [21?] 1848," General Taylor has got none, and Van Buren has, at least, got one good Whig principle  therefore, we go for Van Buren against Taylor",1,event,37
September [21?] 1848,"
 For the benefit of those who are like the speaker, always misrepresenting the Free Soil Party, I will define our position in a prosyllogism",1,demand,38
September [21?] 1848, The abolition of slavery in the territory of the United States can never be accomplished unless the North is united,1,demand,39
September [21?] 1848, But the North cannot be united until old party lines are broken down,1,demand,39
September [21?] 1848," But these lines cannot be broken down unless every man is willing to sacrifice his attachment to minor questions and make opposition to slavery the leading idea  therefore, we have come out of the old pro slavery parties and formed the United Party of the North",1,demand,39
"September 25-30, 1848","Niagara Falls  By what mysterious power is it that millions and millions, are drawn from all parts of the world, to gaze upon Niagara Falls  There is no mystery about the thing itself",1,event,40
"September 25-30, 1848"," Every effect is just such as any inteligent man knowing the causes, would anticipate, without  seeing  it",1,fact,41
"September 25-30, 1848"," If the water moving onward in a great river, reaches a point where there is a perpendicular jog, of a hundred feet in descent, in the bottom of the river, it is plain the water will have a violent and continuous plunge at that point",1,demand,42
"September 25-30, 1848"," It is also plain the water, thus plunging, will foam, and roar, and send up a mist, continuously, in which last, during sunshine, there will be perpetual rain bows",1,demand,42
"September 25-30, 1848", The mere physical of Niagara Falls is only this,0,,
"September 25-30, 1848", Yet this is really a very small part of that world s wonder,0,,
"September 25-30, 1848"," It s power to excite reflection, and emotion, is it s great charm",0,,
"September 25-30, 1848"," The geologist will demonstrate that the plunge, or fall, was once at Lake Ontario, and has worn it s way back to it s present position  he will ascertain how fast it is wearing now, and so get a basis for determining how long it has been wearing back from Lake Ontario, and finally demonstrate by it that this world is at least fourteen thousand years old",1,demand,43
"September 25-30, 1848", A philosopher of a slightly different turn will say Niagara Falls is only the lip of the basin out of which pours all the surplus water which rains down on two or three hundred thousand square miles of the earth s surface,1,demand,44
"September 25-30, 1848"," He will estim ate with  approximate accuracy, that five hundred thousand  to ns of water, falls with it s full weight, a distance of a hundred feet each minute thus exerting a force equal to the lifting of the same weight, through the same space, in the same time",1,demand,44
"September 25-30, 1848"," And then the further reflection comes that this vast amount of water, constantly pouring down, is supplied by an equal amount constantly lifted up, by the sun  and still he says,  If this much is lifted up, for this one space of two or three hundred thousand square miles, an equal amount must be lifted for every other equal space, and he is overwhelmed in the contemplation of the vast power the sun is constantly exerting in quiet, noiseless opperation of lifting water up to be rained down again",1,event,44
"September 25-30, 1848","
 But still there is more",0,,
"September 25-30, 1848", It calls up the indefinite past,0,,
"September 25-30, 1848"," When Columbus first sought this continent when Christ suffered on the cross when Moses led Israel through the Red Sea nay, even, when Adam first came from the hand of his Maker then as now, Niagara was roaring here",1,event,45
"September 25-30, 1848"," The eyes of that species of extinct giants, whose bones fill the mounds of America, have gazed on Niagara, asPage 11
 ours do now",1,event,46
"September 25-30, 1848"," Co n temporary with the whole race of men, and older than the first man, Niagara is strong, and fresh to day as ten thousand years ago",1,fact,47
"September 25-30, 1848"," The Mammoth and Mastadon now so long dead, that fragments of their monstrous bones, alone testify, that they ever lived, have gazed on Niagara",1,event,48
"September 25-30, 1848"," In that long long time, never still for a single moment",0,,
"September 25-30, 1848"," Never dried, never froze, never slept, never rested,",0,,
"October 6, 1848"," Lincoln s speech occupied about two hours, which time he devoted to a most earnest, candid and logical examination of the great questions involved in the present Presidential canvass",1,event,49
"October 6, 1848", He clearly and conclusively showed that the defeat of Gen,0,,
"October 6, 1848"," Taylor would be a verdict of the American people, against any restriction or restraint to the extension and perpetuation of slavery in newly acquired territory",1,fact,50
"October 6, 1848"," In this he resorted to no special pleading, but with well arranged and pertinent facts, and sincere arguments he fully demonstrated it",1,event,50
"October 6, 1848"," During his speech he introduced several humorous, but very appropriate illustrations",1,event,50
"October 21, 1848","Gents  On Friday night, Mr",0,,
"October 21, 1848"," Lincoln, member of Congress from this district, had an appointment to speak in Jacksonville, but gave way to the other branch of the whig family the barnburner abolition free negro party",1,event,51
"October 21, 1848"," On Saturday night, he renewed his appointment,Page 12
 and Mr",0,,
"October 21, 1848"," McConnel,  2  having arrived from the north, gave notice that he would be with him",1,event,52
"October 21, 1848", The consequence was that a general rally took place,0,,
"October 21, 1848","
 The debators were confined to an hour each",0,,
"October 21, 1848"," Lincoln spent his first hour in persecuting his free negro friends, that their object of promoting freedom would be easier and better attained by voting for Taylor, the owner of three hundred negro slaves, because Taylor would not veto the Wilmot proviso if passed by Congress",1,event,53
"October 21, 1848"," It is true, said L",0,,
"October 21, 1848",", that Taylor has not pledged himself to that effect, but he had pledged himself generally against the exercise of the veto power",1,event,54
"October 21, 1848","
 McConnel enquired of L",0,,
"October 21, 1848"," why the Taylor faction of the whig party did not go over to the free negro faction, and then they would be sure to have a man ",0,,
"October 21, 1848"," To this Lincoln said he would have no objection, if there were not other questions about which Taylor and Van Buren disagreed",1,demand,55
"October 21, 1848"," But when McConnel thrust the question upon him  in what do they disagree, what is Taylor for or against  Lincoln could not answer, and was most palpably exposed before his friends",1,event,55
"October 21, 1848"," Lincoln in his second hour, made a weak attempt at a justification of his course, but the flood of authorities thrust upon him by Mr",1,event,56
"October 21, 1848"," McConnel, were evidently new to him",0,,
"October 21, 1848"," Polk had constantly been trying to drive Wentworth  3  to vote upon certain subjects in accordance with the democratic platform, and to misrepresent his constituents and vote contrary to their wishes",1,event,57
"October 21, 1848"," McConnel denied the charge, and called on Lincoln for his authority",1,event,58
"October 21, 1848", He gave Mr,0,,
"October 21, 1848"," Wentworth as his informant, and then pronounced the conduct of Mr",0,,
"October 21, 1848"," Polk, and the democratic party, anti democratic and wrong, and said it was the duty of every representative truly to represent his constituents",1,event,59
"October 21, 1848","
 Mr",0,,
"October 21, 1848", McConnel then took up a copy of the journal of the House of Representatives ,1,event,59
"October 21, 1848"," of January last, and showed that Mr",0,,
"October 21, 1848"," Lincoln had refused to vote for a resolution of thanks to General Taylor and his brave comrades for his and their conduct at the battle of Buena Vista, until he had first voted an amendment thereto, that this battle was fought in a war unconstitutionally and unnecessarilyPage 13
 begun by the President",1,event,60
"October 21, 1848", He asked if Mr,0,,
"October 21, 1848"," Lincoln did not know when he gave that vote that he was misrepresenting the wishes of the patriotic people of this district, and did he do so by the influence of Mr",1,event,61
"October 21, 1848", Polk or some whig leader,0,,
"October 21, 1848"," In the midst of the shower of fire that fell around him, Lincoln cried out,  No, I did not know it, and don t believe it yet",1,event,62
"October 21, 1848"," Lincoln crouched in silence beneath the blows that fell thick and fast around him, and his friends held down their heads with shame",1,event,63
"October 21, 1848","
 Lincoln has made nothing by coming to this part of the country to make speeches",1,event,63
"October 21, 1848", He had better have stayed away,0,,
"October 21, 1848"," Yours,  c",0,,
"October 27, 1848","This Indenture made this twentyseventh day of October in the year of our Lord one thousand, eight hundred and fortyeight, by and between Gershom Jayne and Sibyl Jayne,  2  his wife, and Abraham Lincoln, and Mary Lincoln his wife, all of the city of Springfield, in the State of Illinois, party of the first part  and Pleasant Armstrong and John Yardly of the county of Menard and State aforesaid, party of the second part, Witnesseth 
 That the said party of the first part, for, and in consideration of the sum of one hundred dollars to them in hand paid, by the said party of the second part, the receipt whereof is hereby acknowledged, have granted, bargained and sold  and by these presents do grant bargain and sell unto the said party of the second part, the following described tract or parcel of land, towit  The North part of the North West fractional quarter of Section Three in Township Nineteen North of Range Seven West, of the Third Principal Meridian, situated in the county of Mason, and State aforesaid, containing fortyseven acres more or less",1,event,64
"October 27, 1848","  3 
 To have and to hold to the said party of the second part, their heirs and assigns forever, the above described tract of land, together with all and singular the previleges and appurtenances thereunto belonging",0,,
"October 27, 1848"," And the said party of the first part, for themselves and their heirs, do covenant to and with the said party of the second part, that they are lawfully seized, have full right to convey, and will warrant and forever defend the title of said land against thePage 14
 claim or claims of themselves, their heirs, and of any and all persons whomsoever",0,,
"October 27, 1848","
 In testimony whereof the said party of the first part have here unto set their hands and seals this day and year first above written",,,
"October 27, 1848",,0,,
"November 1, 1848",Mr,0,,
"November 1, 1848"," Lincoln followed him,  2  with one of his most brilliant efforts",0,,
"November 1, 1848"," His main purpose was to show that the peace and prosperity of the country, and the limitation of slavery depended upon the election of a Whig Congress and Gen",1,fact,65
"November 1, 1848"," Taylor  that the Old Hero, whose fidelity to whig principles none should now doubt, had pledged himself to carry out the will of the people, through their representatives, without interposing the veto power",1,demand,65
"November 1, 1848"," He declared that the contest was between Taylor and Cass that he doubted that Van Buren would get even one State, except perhaps the little state of Wisconsin  and admonished all  Liberty  or Van Buren men, by the history of Texan Annexation to cast their votes for Gen",1,event,66
"November 1, 1848"," Taylor, and not indirectly for Gen",0,,
"November 1, 1848"," Cass, who has avowed his favor of the unlimited exercise of the veto power, and as a probable consequence if elected, to the unbounded extension of slavery,  c",1,event,67
"November 1, 1848"," He scored with the most scathing language, that  consistency  of the Abolitionists, which, while they professed great horror at the proposed extension of slave territory, they aided in the election of Mr",1,event,67
"November 1, 1848"," Polk  for which, and its disastrous consequences, they were responsible, as they held the balance of power",0,,
Decr. 8 1848,"Dear Sir  Washington, Decr",0,,
Decr. 8 1848," 8 1848
 Your letter of Novr",0,,
Decr. 8 1848," 27, was here for me when I arrived on yesterday",0,,
Decr. 8 1848," I also received the one addressed me at Springfield  butPage 15
 seeing I could do nothing in the matter then   there, and being very busy with the Presidential election, I threw it by, and forgot it",1,event,68
Decr. 8 1848, I shall do better now,0,,
Decr. 8 1848, Herewith I send you a document of  Information  c,,,
Decr. 8 1848,"  which you can examine  and then if you think fit, to file a caveat, you can send me a description and drawing of your  invention  or  improvement  together with  20 in money, and I will file it for you",1,demand,69
Decr. 8 1848," Nothing can be done, by caveat  or by exam in ing the models here, as you request without having a description of your invention",0,,
Decr. 8 1848, You perceive the reason of this,0,,
Decr. 8 1848," Yours as ever
 A",0,,
Decr. 8 1848, LINCOLN,0,,
"Washington, Decr. 24th. 1848",To Thomas Lincoln and John D,0,,
"Washington, Decr. 24th. 1848"," Johnston  1 
 My dear father  Washington, Decr",0,,
"Washington, Decr. 24th. 1848", 24th,0,,
"Washington, Decr. 24th. 1848"," 1848 
 Your letter of the 7th",0,,
"Washington, Decr. 24th. 1848",  2  was received night before last,0,,
"Washington, Decr. 24th. 1848"," I very cheerfully send you the twenty dollars, which sum you say is necessary to save your land from sale",1,event,70
"Washington, Decr. 24th. 1848"," It is singular that you should have forgotten a judgment against you  and it is more singular that the plaintiff should have let you forget it so long, particularly as I suppose you have always had property enough to satisfy a judgment of that amount",1,demand,71
"Washington, Decr. 24th. 1848"," Before you pay it, it would be well to be sure you have not paid it  or, at least, that you can not prove you have paid it",1,demand,71
"Washington, Decr. 24th. 1848"," Give my love to Mother, and all the connections",0,,
"Washington, Decr. 24th. 1848"," Affectionately your Son
 A",0,,
"Washington, Decr. 24th. 1848"," LINCOLN
 Dear Johnston 
 Your request for eighty dollars, I do not think it best, to comply with now",0,,
"Washington, Decr. 24th. 1848"," At the various times when I have helped you a little, you have said to me  We can get along very well now  but in a veryPage 16
 short time I find you in the same difficulty again",1,event,72
"Washington, Decr. 24th. 1848", Now this can only happen by some defect in your conduct,1,demand,72
"Washington, Decr. 24th. 1848", What that defect is I think I know,0,,
"Washington, Decr. 24th. 1848"," You are not lazy, and still you are an idler",1,fact,73
"Washington, Decr. 24th. 1848"," I doubt whether since I saw you, you have done a good whole day s work in any one day",1,event,73
"Washington, Decr. 24th. 1848"," You do not very much dislike to work  and still you do not work much, merely because it does not seem to you that you could get much for it",1,fact,73
