book no.,Year,sentence
volume51_book_481.txt,"October 24, 1932","3864 1 On receipt of the letter, Home Department telegraphed to Bombay Government on November 1: ""Your letter of 28th October forwarding important letters of Gandhi, dated 18th and 24th October, reached us only yesterday."
volume51_book_481.txt,"October 24, 1932",We are after full consideration recommending to His Majesty's Government that Gandhi should be allowed complete freedom in regard to visitors and correspondence on matters strictly confined to removal of untouchability and that there should be no restriction on publicity.
volume51_book_481.txt,"October 24, 1932","Conditions suggested by Gandhi himself about right to have official present at interviews and inspection of correspondence would be accepted, though it might not be necessary to"
volume49_book_218.txt,"March 11, 1932","LETTER TO SIR SAMUEL HOARE March 11, 1932 2 DEAR SIR SAMUEL, You will perhaps recollect that at the end of my speech 3 at the Round Table Conference when the minorities' claim was presented, I had said that I should resist with my life the grant of separate electorate to the Depressed Classes."
volume49_book_218.txt,"March 11, 1932","This was not said in the heat of the moment, nor by way of rhetoric."
volume49_book_218.txt,"March 11, 1932",It was meant to be a serious statement.
volume49_book_218.txt,"March 11, 1932","In pursuance of that statement, I had hoped on my return to India to mobilize public opinion against separate electorate, at any rate, for the Depressed Classes."
volume49_book_218.txt,"March 11, 1932",But it was not to be.
volume49_book_218.txt,"March 11, 1932","From the newspapers which I am permitted to read, I observe that any moment His Majesty's Government may declare their decision."
volume49_book_218.txt,"March 11, 1932","At first I had thought that if the decision was found to create separate electorates for the Depressed Classes, I should take such steps as I might then consider necessary to give effect to my vow."
volume49_book_218.txt,"March 11, 1932",But I feel that it would be unfair to the British Government for me to act without giving previous notice.
volume49_book_218.txt,"March 11, 1932",Naturally they could not attach the significance I give to my statement.
volume49_book_218.txt,"March 11, 1932",I need hardly reiterate all the objections I have to the creation of separate electorates for the Depressed Classes.
volume49_book_218.txt,"March 11, 1932",I feel as if 1 Gandhiji's letters from correspondents abroad were misdirected to the addressee.
volume49_book_218.txt,"March 11, 1932","2 Despatched on this date, the letter was drafted on March 9 and revised on March 10; vide ""Diary, 1932""."
volume49_book_218.txt,"March 11, 1932",LETTER TO SIR SAMUEL HOARE 191 I was one of them.
