date,sentence,importance,event-type,cluster
"1930, May 4",Out of every five rupees of the debt that the Government has incurred rupees four have been beneficially spent.,1,fact,48
"1930, May 4",I have taken these three sets of statements from three different leaflets.,0,,
"1930, May 4",I venture to suggest that everyone of these statements is demonstrably false.,0,,
"1930, May 4",The daily consumption of salt by an adult is three times the amount stated and therefore the poll tax that the salt tax undoubtedly is is at least 9 annas per head per year.,1,fact,9003
"1930, May 4","And this tax is levied from man, woman, child and domestic cattle irrespective of age and health.",1,fact,9003
"1930, May 4","It is a wicked falsehood to say that every village has a spinning-wheel, and that the spinning movement is in any shape or form encouraged or supported by the Government.",,,
"1930, May 4",Financiers can better dispose of the falsehood that four out of every five rupees of the public debt is used for the benefit of the public.,1,fact,48
"1930, May 4",But those falsehoods are mere samples of what people know is going on in everyday contact with the Government.,0,,
"1930, May 4","Only the other day a Gujarati poet, a brave man, was convicted on perjured official evidence in spite of his emphatic statement that at the time mentioned he was sleeping soundly in another place.",0,,
"1930, May 4",Now for instances of official inactivities.,0,,
"1930, May 4",Liquor dealers have assaulted pickets admitted by officials to have been peaceful and sold liquor in contravention of regulations.,0,,
"1930, May 4",The officials have taken no notice either of the assaults or the illegal sales of liquor.,0,,
"1930, May 4","As to the assaults, though they are known to everybody, they may take shelter under the plea that they have received no complaints.",0,,
"1930, May 4",And now you have sprung upon the country a Press Ordinance surpassing any hitherto known in India.,0,,
"1930, May 4",You have found a short cut through the law's delay in the matter of the trial of Bhagat Singh and others by doing away with the ordinary procedure.,0,,
"1930, May 4",Is it any wonder if I call all these official activities and inactivities a veiled form of Martial Law?,0,,
"1930, May 4",Yet this is only the fifth week of the struggle!,0,,
"1930, May 4","Before, then, the reign of terrorism that has just begun overwhelms India, I feel that I must take a bolder step, and if possible divert your wrath in a cleaner if more drastic channel.",0,,
"1930, May 4",You may not know the things that I have described.,0,,
"1930, May 4",You may not even now believe in them.,0,,
"1930, May 4",I can but invite your serious attention to them.,0,,
"1930, May 4","392 THE COLLECTED WORKS OF MAHATMA GANDHI Anyway I feel that it would be cowardly on my part not to invite you to disclose to the full the leonine paws of authority so that the people who are suffering tortures and destruction of their property may not feel that I, who had perhaps been the chief party inspiring them to action that has brought to light the Government in its true colours, had left any stone unturned to work out the satyagraha programme as fully as it was possible under given circumstances.",0,,
"1930, May 4","For, according to the science of satyagraha, the greater the repression and lawlessness on the part of authority, the greater should be the suffering courted by the victims.",0,,
"1930, May 4","Success is the certain result of suffering of the extremest character, voluntarily undergone.",0,,
"1930, May 4",I know the dangers attendant upon the methods adopted by me.,0,,
"1930, May 4",But the country is not likely to mistake my meaning.,0,,
"1930, May 4",I say what I mean and think.,0,,
"1930, May 4",And I have been saying for the last fifteen years in India and outside for twenty years more and repeat now that the only way to conquer violence is through non-violence pure and undefiled.,1,fact,52
"1930, May 4","I have said also that every violent act, word and even thought interferes with the progress of non-violent action.",1,fact,52
"1930, May 4","If in spite of such repeated warnings people will resort to violence, I must disown responsibility save such as inevitably attaches to every human being for the acts of every other human being.",1,demand,52
"1930, May 4","But the question of responsibility apart, I dare not postpone action on any cause whatsoever, if non-violence is the force the seers of the world have claimed it to be and if I am not to belie my own extensive experience of its working.",0,,
"1930, May 4",But I would fain avoid the further step.,0,,
"1930, May 4","I would therefore ask you to remove the tax which many of your illustrious countrymen have condemned in unmeasured terms and which, as you could not have failed to observe, has evoked universal protest and resentment expressed in civil disobedience.",,,
"1930, May 4",You may condemn civil disobedience as much as you like.,0,,
"1930, May 4",Will you prefer violent revolt to civil disobedience?,0,,
"1930, May 4","If you say, as you have said, that the civil disobedience must end in violence, history will pronounce the verdict that the British Government, not bearing because not understanding non-violence, goaded human nature to violence which it could understand and deal with.",1,fact,5
"1930, May 4",But in spite of the goading I shall hope that God will give the people of India wisdom and strength to withstand every temptation and provocation to violence.,0,,0
"1930, May 4","If, therefore, you cannot see your way to remove the salt tax, and remove the prohibition on private salt-making, I must reluctLETTER TO DR. SYED MAHMUD 393 antly commence the march adumbrated in the opening paragraph of my letter.",0,,
"1930, May 4","I am, Your sincere friend, M. K. GANDHI Young India, 8-5-1930",0,,
"1930, August 15","LETTER TO T. B. SAPRU AND M. R. JAYAKAR1 YERAVDA CENTRAL PRISON, August 15, 1930 DEAR FRIENDS, We are deeply grateful to you for having undertaken the duty of trying to effect a peaceful settlement between the British Government and the Congress.",0,,
"1930, August 15","After having perused the correspondence between yourselves and His Excellency the Viceroy and having had the benefit of protracted talks with you and having discussed among ourselves, we have come to the conclusion that the time is not yet ripe for securing a settlement honourable for our country.",0,,
"1930, August 15","Marvellous as has been the mass awakening during 1 A joint interview took place in the Yeravda Jail on August 14 and 15 between Sir Tej Bahadur Sapru and M. R. Jayakar on the one hand and Gandhiji, Motilal Nehru, Jawaharlal Nehru, Vallabhbhai Patel, Dr. Syed Mahmud, Jairamdas Doulatram and Sarojini Naidu on the other.",1,event,6
"1930, August 15",After the discussions this letter was given to Sapru and Jayakar with permission to show it to the Viceroy.,0,,
"1930, August 15","For Sapru and Jayakar's reply, vide Appendix II.",0,,
"1930, August 15","44-6 82 THE COLLECTED WORKS OF MAHATMA GANDHI the past five months and great as has been the sufferings of the people among all grades and classes representing the different creeds, we feel that the sufferings have been neither sustained enough nor large enough for the immediate attainment of the end.",1,fact,6
"1930, August 15",Needless to mention we do not in any way share your view or the Viceroy's that civil disobedience has harmed the country or that it is ill-timed or unconstitutional.,1,fact,6
"1930, August 15",English history teems with instances of bloody revolts whose praises Englishmen have sung unstintingly and taught us to do likewise.,1,fact,6
"1930, August 15","It therefore ill becomes the Viceroy or any intelligent Englishman to condemn a revolt that is in intention and that has overwhelmingly remained in execution peaceful, but we have no desire to quarrel with condemnation, whether official or unofficial, of the present civil disobedience campaign.",1,fact,6
"1930, August 15","The wonderful mass response to the movement is, we hold, its sufficient justification.",0,,
"1930, August 15","What is, however, the point here is the fact that we gladly make common cause with you in wishing, if it is at all possible, to stop or suspend civil disobedience.",0,,
"1930, August 15","It can be no pleasure to us needlessly to expose the men, women and even the children of our country to imprisonment, lathi charges and worse.",1,fact,6
"1930, August 15","You will, therefore, believe us when we assure you and through you the Viceroy that we would leave no stone unturned to explore any and every channel for honourable peace, but we are free to confess as yet we see no such sign on the horizon.",1,fact,6
"1930, August 15",We notice no symptom of conversion of the English official world to the view that it is India's men and women who must decide what is best for India.,0,,
"1930, August 15","We distrust the pious declarations of the good intentions, often well meant, of officials.",0,,
"1930, August 15","The age-long exploitation by the English of the people of this ancient land has rendered them almost incapable of seeing the ruin, moral, economic and political, of our country which this exploitation has brought about.",1,fact,17
"1930, August 15","They cannot persuade themselves to see that one thing needful for them to do is to get off our backs and do some reparation for the past wrongs, by helping us to grow out of the dwarfing process that has gone on for a century of British domination, but we know you and some of our learned countrymen think differently.",1,fact,17
"1930, August 15","You believe a conversion has taken place, at any rate, sufficient to warrant participation in the proposed Conference.",0,,
"1930, August 15","In spite, therefore, of the limitation we are labouring under, we would gladly co-operate with you to the extent of our ability.",0,,
"1930, August 15","The following is the utmost response it is possible for us, circumstanced as we are, to make to your friendly endeavour.",0,,
"1930, August 15","We feel the language used by the Viceroy in the reply given to your letter about the proposed Conference is too vague to LETTER TO T. B. SAPRU AND M. R. JAYAKAR 83 enable us to assess its value in terms of the National Demand framed last year in Lahore nor are we in a position to say anything authoritative without reference to a properly constituted meeting of the Working Committee of the Congress and if necessary to the A.I.C.C., but we can say that for us individually no solution will be satisfactory unless (a) it recognizes in as many words the right of India to secede at will from the British Empire, (b) it gives to India complete national Government responsible to her people including the control of defence forces and economic control and covers all the eleven points raised in Gandhiji's letter to the Viceroy and (c) it gives to India the right to refer if necessary to an independent tribunal such British claims, concessions and the like including the so-called public debt of India as may seem to the national Government to be unjust or not in the interest of the people of India.",1,fact,7
"1930, August 15",Such adjustments as may be necessitated in the interests of India during the transference of power to be determined by India's chosen representatives.,0,,
"1930, August 15","(2) If the foregoing appears to be feasible to the British Government and a satisfactory declaration is made to that effect, we should recommend to the Working Committee the advisability of calling off civil disobedience, that is to say, disobedience of certain laws for the sake of disobedience but peaceful picketing of foreign cloth and liquor will be continued unless Government themselves can enforce prohibition of liquor and foreign cloth.",1,demand,7
"1930, August 15",The manufacture of salt by the people will have to be continued and the penal clauses of the Salt Act should not be enforced.,1,demand,7
"1930, August 15",There will be no raids on Government or private salt depots.,1,fact,7
"1930, August 15","(3) Simultaneously with the calling off of civil disobedience (a) all the satyagrahi prisoners and other political prisoners convicted or under trial who have not been guilty of violence or incitement to violence should be ordered to be released, (b) properties confiscated under the Salt Act, the Press Act, the Revenue Act and the like should be restored, (c) fines and securities taken from convicted satyagrahis or under the Press Act should be refunded, (d) all the officers including village officers who have resigned or who may have been dismissed during the civil disobedience movement and who may desire to rejoin Government service should be reinstated.",1,demand,7
"1930, August 15",The foregoing sub-clauses refer also to the Non-cooperation period.,0,,
"1930, August 15",(e) All the Viceregal Ordinances should be repealed.,1,demand,7
"1930, August 15","84 THE COLLECTED WORKS OF MAHATMA GANDHI (4) The question of the composition of the proposed Conference and of the Congress being represented at it can only be decided after the foregoing preliminaries are satisfactorily settled.1 Yours sincerely, MOTILAL NEHRU M. K. GANDHI SAROJINI NAIDU VALLABHBHAI PATEL JAIRAMDAS DOULATRAM SYED MAHOMED JAWAHARLAL NEHRU The Hindu, 5-9-1930",0,,
"1930, March 2","LETTER TO LORD IRWIN SATYAGRAHA ASHRAM, SABARMATI, March 2, 1930 DEAR FRIEND, Before embarking on civil disobedience and taking the risk I have dreaded to take all these years, I would fain approach you and find a way out.",0,,
"1930, March 2",My personal faith is absolutely clear.,0,,
"1930, March 2","I cannot intentionally hurt anything that lives, much less fellow human beings, even though they may do the greatest wrong to me and mine.",0,,
"1930, March 2","Whilst, therefore, I hold the British rule to be a curse, I do not intend harm to a single Englishman or to any legitimate interest he may have in India.",1,fact,53
"1930, March 2",I must not be misunderstood.,0,,
"1930, March 2","Though I hold the British rule in India to be a curse, I do not, therefore, consider Englishmen LETTER TO LORD IRWIN 3 in general to be worse than any other people on earth.",1,fact,53
"1930, March 2",I have the privilege of claiming many Englishmen as dearest friends.,1,fact,53
"1930, March 2",Indeed much that I have learnt of the evil of British rule is due to the writings of frank and courageous Englishmen who have not hesitated to tell the unpalatable truth about that rule.,1,fact,53
"1930, March 2",And why do I regard the British rule as a curse?,0,,
"1930, March 2",It has impoverished the dumb millions by a system of progressive exploitation and by a ruinously expensive military and civil administration which the country can never afford.,1,fact,731
"1930, March 2",It has reduced us politically to serfdom.,1,fact,731
"1930, March 2",It has sapped the foundations of our culture.,1,fact,731
"1930, March 2","And, by the policy of cruel disarmament, it has degraded us spiritually.",1,fact,731
"1930, March 2","Lacking the inward strength, we have been reduced, by all but universal disarmament, to a state bordering on cowardly helplessness.",1,fact,731
"1930, March 2","In common with many of my countrymen, I had hugged the fond hope that the proposed Round Table Conference might furnish a solution.",0,,
"1930, March 2","But, when you said plainly that you could not give any assurance that you or the British Cabinet would pledge yourselves to support a scheme of full Dominion Status, the Round Table Conference could not possibly furnish the solution for which vocal India is consciously, and the dumb millions are unconsciously, thirsting.",,,
"1930, March 2",Needless to say there never was any question of Parliament's verdict being anticipated.,0,,
"1930, March 2","Instances are not wanting of the British Cabinet, in anticipation of the Parliamentary verdict, having pledged itself to a particular policy.",0,,
"1930, March 2","The Delhi interview1 having miscarried, there was no option for Pandit Motilal Nehru and me but to take steps to carry out the solemn resolution of the Congress arrived at in Calcutta at its Session in 1928.",0,,
"1930, March 2","2 But the Resolution of Independence 3 should cause no alarm, if the word Dominion Status mentioned in your announcement had been used in its accepted sense.",0,,
"1930, March 2","For, has it not been admitted by responsible British statesmen that Dominion Status is virtual Independence?",0,,
"1930, March 2","What, however, I fear is that there never has been any intention of granting such Dominion Status to India in the immediate future.",,,
"1930, March 2",But this is all past history.,0,,
"1930, March 2",Since the announcement many events have happened which show unmistakably the trend of British policy.,1,fact,54
"1930, March 2","1 Which took place on December 23, 1929; vide Vol.",1,event,54
"1930, March 2",3 The resolution referred to is the Congress resolution passed at Lahore in 1929.,1,event,54
"1930, March 2",4 It seems as clear as daylight that responsible British statesmen do not contemplate any alteration in British policy that might adversely affect Britain's commerce with India or require an impartial and close scrutiny of Britain's transactions with India.,1,fact,54
"1930, March 2",If nothing is done to end the process of exploitation India must be bled with an ever increasing speed.,0,,
"1930, March 2",The Finance Member regards as a settled fact the 1/6 ratio which by a stroke of the pen drains India of a few crores.,1,event,56
"1930, March 2","And when a serious attempt is being made through a civil form of direct action, to unsettle this fact, among many others, even you cannot help appealing to the wealthy landed classes to help you to crush that attempt in the name of an order that grinds India to atoms.",1,demand,56
"1930, March 2","Unless those who work in the name of the nation understand and keep before all concerned the motive that lies behind the craving for independence, there is every danger of independence coming to us so changed as to be of no value to those toiling voiceless millions for whom it is sought and for whom it is worth taking.",1,demand,56
"1930, March 2",It is for that reason that I have been recently telling the public what independence should really mean.,0,,
"1930, March 2",Let me put before you some of the salient points.,0,,
"1930, March 2","The terrific pressure of land revenue, which furnishes a large part of the total, must undergo considerable modification in an independent India.",1,demand,57
"1930, March 2","Even the much vaunted permanent settlement benefits the few rich zamindars, not the ryots.",1,fact,57
"1930, March 2",The ryot has remained as helpless as ever.,0,,
"1930, March 2",He is a mere tenant at will.,0,,
"1930, March 2","Not only, then, has the land revenue to be considerably reduced, but the whole revenue system has to be so revised as to make the ryot's good its primary concern.",1,demand,57
"1930, March 2",But the British system seems to be designed to crush the very life out of him.,0,,
"1930, March 2","Even the salt he must use to live is so taxed as to make the burden fall heaviest on him, if only because of the heartless impartiality of its incidence.",0,,
"1930, March 2",The tax shows itself still more burdensome on the poor man when it is remembered that salt is the one thing he must eat more than the rich man both individually and collectively.,1,demand,7
"1930, March 2","The drink and drug revenue, too, is derived from the poor.",1,fact,7
"1930, March 2",It saps the foundations both of their health and morals.,0,,
"1930, March 2","It is defended under the false plea of individual freedom, but, in reality, is maintained for its own sake.",0,,
"1930, March 2","The ingenuity of the authors of the reforms of 1919 transferred this revenue to the so-called responsible part of dyarchy, so as to throw the burden of prohibition on it, thus, from the very beginning, rendering it powerless for good.",0,,
"1930, March 2","If the unhappy minister wipes out this revenue he must starve education, since in the existing circumstances he has no new source LETTER TO LORD IRWIN 5 of replacing that revenue.",1,demand,7
"1930, March 2","If the weight of taxation has crushed the poor from above, the destruction of the central supplementary industry, i.e., hand-spinning, has undermined their capacity for producing wealth.",1,fact,60
"1930, March 2",The tale of India's ruination is not complete without reference to the liabilities incurred in her name.,1,fact,60
"1930, March 2",Sufficient has been recently said about these in the public Press.,0,,
"1930, March 2","It must be the duty of a free India to subject all the liabilities to the strictest investigation, and repudiate those that may be adjudged by an impartial tribunal to be unjust and unfair.",1,demand,60
"1930, March 2","The iniquities sampled above are maintained in order to carry on a foreign administration, demonstrably the most expensive in the world.",0,,
"1930, March 2",Take your own salary.,0,,
"1930, March 2",It is over Rs.,0,,
"1930, March 2","21,000 per month, besides many other indirect additions.",0,,
"1930, March 2","The British Prime Minister gets £ 5,000 per year, i.e., over Rs.",0,,
"1930, March 2","5,400 per month at the present rate of exchange.",0,,
"1930, March 2",You are getting over Rs.,0,,
"1930, March 2",700 per day against India's average income of less than annas 2 per day.,0,,
"1930, March 2",The Prime Minister gets Rs.,0,,
"1930, March 2",180 per day against Great Britain's average income of nearly Rs.,0,,
"1930, March 2",Thus you are getting much over five thousand times India's average income.,0,,
"1930, March 2",The British Prime Minister is getting only ninety times Britain's average income.,0,,
"1930, March 2",On bended knees I ask you to ponder over this phenomenon.,0,,
"1930, March 2",I have taken a personal illustration to drive home a painful truth.,0,,
"1930, March 2",I have too great a regard for you as a man to wish to hurt your feelings.,0,,
"1930, March 2",I know that you do not need the salary you get.,0,,
"1930, March 2",Probably the whole of your salary goes for charity.,0,,
"1930, March 2",But a system that provides for such an arrangement deserves to be summarily scrapped.,0,,
"1930, March 2",What is true of the Viceregal salary is true generally of the whole administration.,0,,
"1930, March 2","A radical cutting down of the revenue, therefore, depends upon an equally radical reduction in the expenses of the administration.",1,fact,8
"1930, March 2",This means a transformation of the scheme of government.,0,,
"1930, March 2",This transformation is impossible without independence.,0,,
"1930, March 2","Hence, in my opinion, the spontaneous demonstration of 26th January, in which hundreds of thousands of villagers instinctively participated.",1,event,8
"1930, March 2",To them independence means deliverance from the killing weight.,0,,
"1930, March 2","Not one of the great British political parties, it seems to me, is prepared to give up the Indian spoils to which Great Britain helps herself from day to day, often, in spite of the unanimous opposition of Indian opinion.",0,,
"1930, March 2","Nevertheless, if India is to live as a nation, if the slow death by starvation of her people is to stop, some remedy must be found for immediate relief.",0,,
"1930, March 2",The proposed Conference is certainly not the remedy.,0,,
"1930, March 2",It is not a matter of carrying conviction by 6 THE COLLECTED WORKS OF MAHATMA GANDHI argument.,0,,
"1930, March 2",The matter resolves itself into one of matching forces.,0,,
"1930, March 2","Conviction or no conviction, Great Britain would defend her Indian commerce and interests by all the forces at her command.",0,,
"1930, March 2",India must consequently evolve force enough to free herself from that embrace of death.,0,,
"1930, March 2","It is common cause that, however disorganized and, for the time being, insignificant it may be, the party of violence is gaining ground and making itself felt.",0,,
"1930, March 2",Its end is the same as mine.,0,,
"1930, March 2",But I am convinced that it cannot bring the desired relief to the dumb millions.,0,,
"1930, March 2",And the conviction is growing deeper and deeper in me that nothing but unadulterated non-violence can check the organized violence of the British Government.,0,,
"1930, March 2",Many think that non-violence is not an active force.,1,fact,10
"1930, March 2","My experience, limited though it undoubtedly is, shows that non-violence can be an intensely active force.",1,fact,10
"1930, March 2",It is my purpose to set in motion that force as well against the organized violent force of the British rule as [against] the unorganized violent force of the growing party of violence.,0,,
"1930, March 2",To sit still would be to give rein to both the forces above mentioned.,0,,
"1930, March 2","Having an unquestioning and immovable faith in the efficacy of non-violence as I know it, it would be sinful on my part to wait any longer.",1,fact,10
"1930, March 2","This non-violence will be expressed through civil disobedience, for the moment confined to the inmates of the Satyagraha Ashram, but ultimately designed to cover all those who choose to join the movement with its obvious limitations.",1,fact,10
"1930, March 2",I know that in embarking on non-violence I shall be running what might fairly be termed a mad risk.,1,fact,10
"1930, March 2","But the victories of truth have never been won without risks, often of the gravest character.",1,fact,10
"1930, March 2","Conversion of a nation that has consciously or unconsciously preyed upon another, far more numerous, far more ancient and no less cultured than itself, is worth any amount of risk.",0,,
"1930, March 2","I have deliberately used the word ""conversion"".",0,,
"1930, March 2","For my ambition is no less than to convert the British people through nonviolence, and thus make them see the wrong they have done to India.",1,fact,10
"1930, March 2",I do not seek to harm your people.,0,,
"1930, March 2",I want to serve them even as I want to serve my own.,0,,
"1930, March 2",I believe that I have always served them.,0,,
"1930, March 2",I served them up to 1919 blindly.,0,,
"1930, March 2","But when my eyes were opened and I conceived non-co-operation, the object still was to serve them.",0,,
"1930, March 2",I employed the same weapon that I have in all humility successfully used against the dearest members of my family.,1,event,63
"1930, March 2",If I have equal love for your people with mine it will not long remain hidden.,1,fact,63
"1930, March 2",It will be acknowledged by them even LETTER TO LORD IRWIN 7 as the members of my family acknowledged it after they had tried me for several years.,1,fact,63
"1930, March 2","If the people join me as I expect they will, the sufferings they will undergo, unless the British nation sooner retraces its steps, will be enough to melt the stoniest hearts.",0,,
"1930, March 2",The plan through civil disobedience will be to combat such evils as I have sampled out.,0,,
"1930, March 2",If we want to sever the British connection it is because of such evils.,0,,
"1930, March 2",When they are removed the path becomes easy.,0,,
"1930, March 2",Then the way to friendly negotiation will be open.,0,,
"1930, March 2","If the British commerce with India is purified of greed, you will have no difficulty in recognizing our independence.",0,,
"1930, March 2","I respectfully invite you then to pave the way for immediate removal of those evils, and thus open a way for a real conference between equals, interested only in promoting the common good of mankind through voluntary fellowship and in arranging terms of mutual help and commerce equally suited to both.",1,fact,65
"1930, March 2",You have unnecessarily laid stress upon the communal problems that unhappily affect this land.,1,fact,65
"1930, March 2","Important though they undoubtedly are for the consideration of any scheme of government, they have little bearing on the greater problems which are above communities and which affect them all equally.",1,fact,65
"1930, March 2","But if you cannot see your way to deal with these evils and my letter makes no appeal to your heart, on the 11th day of this month,1 I shall proceed with such co-workers of the Ashram as I can take, to disregard the provisions of the salt laws.",1,fact,65
"1930, March 2",I regard this tax to be the most iniquitous of all from the poor man's standpoint.,0,,
"1930, March 2",As the independence movement is essentially for the poorest in the land the beginning will be made with this evil.,1,fact,65
"1930, March 2",The wonder is that we have submitted to the cruel monopoly for so long.,0,,
"1930, March 2","It is, I know, open to you to frustrate my design by arresting me.",0,,
"1930, March 2","I hope that there will be tens of thousands ready, in a disciplined manner, to take up the work after me, and, in the act of disobeying the Salt Act to lay themselves open to the penalties of a law that should never have disfigured the Statute-book.",1,demand,10050
"1930, March 2","I have no desire to cause you unnecessary embarrassment, or any at all, so far as I can help.",0,,
"1930, March 2","If you think that there is any substance in my letter, and if you will care to discuss matters with me, and if to that end you would like me to postpone publication of this letter, I shall gladly refrain on receipt of a telegram to that effect soon after this reaches you.",1,fact,10050
"1930, March 2","2 You will, however, do 1 The march, however, started on March 12.",0,,
"1930, March 2","2 The Viceroy's reply was simply an expression of regret that Gandhiji should be ""contemplating a course of action which is clearly bound to involve violation of the law and danger to the public peace"".",1,demand,66
"1930, March 2",8 THE COLLECTED WORKS OF MAHATMA GANDHI me the favour not to deflect me from my course unless you can see your way to conform to the substance of this letter.,0,,
"1930, March 2",This letter is not in any way intended as a threat but is a simple and sacred duty peremptory on a civil resister.,0,,
"1930, March 2","Therefore I am having it specially delivered by a young English friend who believes in the Indian cause and is a full believer in non-violence and whom Providence seems to have sent to me, as it were, for the very purpose.1 I remain, Your sincere friend, M. K. GANDHI H. E. LORD IRWIN VICEROY'S HOUSE NEW DELHI-3 Young India, 12-3-1930; also S.N.",0,,
"1930, May 18","LETTER TO VICEROY YERAVDA CENTRAL PRISON, May 18, 1930 3 H. E. THE VICEROY OF INDIA DEAR FRIEND, The authorities having permitted the use of newspapers, I am able somewhat to follow the course of events in the country.",0,,
"1930, May 18",I should fail in my duty if I did not express my opinion on your latest statement.,0,,
"1930, May 18","4 1 Mirabehn, in Young India, 22-5-1930, says that this was addressed to Devdas Gandhi.",1,event,30000
"1930, May 18","2 As in the source 3 The letter was drafted on May 12, finalized on May 18 and handed to the Superintendent, Major Martin, the following day.",1,event,30000
"1930, May 18","4 On May 12, announcing that steps were being taken to hold the Round Table Conference in October, the Viceroy had declared: ""Neither my Government nor His Majesty's Government will be deflected by these unhappy events You seem to ignore the simple fact that disobedience ceases to be such immediately masses of people resort to it.",1,fact,30000
"1930, May 18","Do you not see that hundreds of men who have been known for their peaceful nature, who have an unbroken record of service to their credit1 and whose integrity is beyond suspicion are imprisoned?",0,,
"1930, May 18",They are no law-breakers; they are no haters of the English.,,,
"1930, May 18",And what of the most peaceful demonstration of thousands of simple villagers who are by instinct the most law-abiding?,0,,
"1930, May 18","To describe the movement of such men and women as lawlessness is, in my opinion, doing violence to the language.",0,,
"1930, May 18",The very motive which is the essence of crime is lacking.,0,,
"1930, May 18",It is the noblest of motives which 2 takes away men like the hoary-headed Abbas Tyabji from their soft ease to court the hardships of a jail life.,1,fact,68
"1930, May 18",3 You protest your affection for India.,0,,
"1930, May 18",I believe in your profession.,0,,
"1930, May 18",But I deny the correctness of your diagnosis of India's disease.,0,,
"1930, May 18",The best constitution that can be devised will fail to bring real contentment and peace unless the grievances on which public attention is concentrated are immediately removed.,1,fact,68
"1930, May 18",The salt tax cannot remain.,1,fact,68
"1930, May 18",The liquor revenue must go.,1,demand,68
"1930, May 18",The foreign cloth importation which has produced a partial paralysis of the village life must be stopped.,1,demand,68
"1930, May 18",Have you not noted the strength of popular feeling in these matters?,0,,
"1930, May 18",Or are the hundreds of thousands of men and women who are taking part in the movement wicked-minded or misled or fools and the English officials the best judges of what is good for India?,0,,
"1930, May 18","If I am not mistaken, you will find the spirit of the people to be proof against repression, no matter how severe 4 it may be.",0,,
"1930, May 18",You will not coerce millions of people into subjection for all time.,0,,
"1930, May 18",India must not live for England.,1,demand,69
"1930, May 18","She must live for herself, so as to enable her to make her contribution to the world's progress.",1,demand,69
"1930, May 18",As a slave nation she is a mere burden on earth because it is a false life.,1,fact,69
"1930, May 18","No Round Table Conference can therefore be of any avail, unless you see things from our standpoint and, leaving coercion, rely simply on carrying conviction.",0,,
